,Tweet
98,Pateriarch van de Syrisch Orthodoxe Kerk ontmoet De Paus. http://t.co/ddlieX4w8H
99,Die Syrisch-Orthodoxe Kirche hofft auf diplomatische Hilfe aus dem Vatikan http://t.co/bLmwpgnGR6
100,@ivanmoreirab me violenta mas saber que legislas siendo un delincuente tributario. ! Wn patudo
101,#LaOtraRoja también en Chile. No todo es futbol
102,Syrisch-orthodoxe Kirche bittet #Vatikan um Hilfe gegen Terrorismus und meint #ISIS aber nicht #Assad http://t.co/jhun9xcg0l via @kathch
103,Syrisch-orthodoxe Kirche bittet Vatikan um diplomatische Hilfe gegen Volk und für Tyrannen #Assad #Syrien http://t.co/jhun9xcg0l via @kathch
104,Syrisch-Orthodoxe Kirche bittet Vatikan um Hilfe http://t.co/bLmwpgnGR6
105,De Syrisch-orthodoxe patriarch Mor Ignace Ephrem II vraagt steun van de paus en het Vaticaan. http://t.co/6AL5fUJxIv
106,Papst trifft Oberhaupt der syrisch-orthodoxen Kirche §RV http://t.co/wRnJhjxNHj
107,Turkse staatspropaganda draait op volle toeren. De (Syrisch)Koerdische PYD gevaarlijker dan ISIS volgens de krant... https://t.co/kzb6Ce4Hds
108,"Your voice gives them hope, it lets them feel that you care.

#SyrianRefugees #syrisch_Flüchtlinge
   https://t.co/XFciSXzhAk"
109,"@mlauriks tja, de Syrisch Orthodoxen vasten ook. Die hebben dat genoegen @minpresident nog niet gesmaakt."
110,@weijers3 oke leuk maar ik ben syrisch dus dat is niet boeiend. Maar berbers komt wel van de semitische taal fenecisch
111,@heinipeters @DickKraaij @MinPres @apsjusju De christelijke Arameeërs vd Syrisch-orthodoxe kerk vasten 50 dagen voor Pasen. 25.000 in NL
112,"It's a small world after all... Syrisch gezin dat nu in #Mechelen woont, verbleef in Koerdisch kamp toen ik er was: https://t.co/fj4H3DmbKe"
113,Syrisch-katholische Patriarchat in Gümüşsuyu... http://t.co/wkxfHsOIhy
114,Wereldvluchtelingendag: Syrisch gezin probeert nieuw leven te bouwen in Diepenbeek - http://t.co/WlcEERLwcz #tvlnieuws
115,Paus Franciscus en Syrisch-orthodoxe patriarch Ignace Ephrem II van Antiochië bidden morgen samen voor Midden-Oosten http://t.co/fA4tO4bUqM
116,pjuuwh wat een rakende hartverscheurende foto: een jong Syrisch meisje is gewond geraakt en wacht op behandeling... https://t.co/tRh0IAxzq1
117,Iran bevestigt dood generaal na aanval Israël op Syrisch grondgebied: Iran heeft maandag bevestigd dat een Ira... http://t.co/yFIjEqXfPy
118,Iran bevestigt dood generaal na aanval Israël op Syrisch grondgebied: Iran heeft maandag bevestigd dat een Ira... http://t.co/gAl3BIvyW6
119,Chemisch afval Syrisch arsenaal verwerkt - Nederlands Dagblad http://t.co/fvRPGLdZwx http://t.co/Lz661nE9aE
120,"So sieht's aus, wenn man die syrisch-türkische Grenze illegal überqueren muss. http://t.co/hhomuG5Di2 #WTF"
121,Het verhaal van de terugkeer van een 10-jarig meisje naar de verwoeste Syrisch-Koerdische stad #Kobani - http://t.co/bWMltcrb4F
122,Het verhaal van de terugkeer van een 10-jarig meisje naar de verwoeste Syrisch-Koerdische stad #Kobani - http://t.co/sELsQ2Kz3T
123,"Gaat het Syrisch regime het alsnog bombarderen:
https://t.co/CKjfdaMSoT"
124,"@incorporeality Ja, ich vermute, es lohnt sich Ägyptisch zu lernen (ganz berühmt); vielleicht eben Syrisch. Khaleeji, mal seh'n 😉"
125,"@gisellekens @HesterAssen Ik zou bijna Oranje bellen, en die kinderen een dag Nederlandse les geven via Syrisch Arabisch...."
126,"Syrisch-kurdische Kämpfer erobern strategisch wichtige Grenzstadt Tell Abyad vom ""Islamischen Staat"" http://t.co/2Mvwf8gFnJ"
127,"""Ik weet niet hoe ik de verloren jaren kan inhalen"", lees het verhaal van een Syrisch #vluchtkind in #Libanon. http://t.co/uvQnb9i6L4"
128,Quo vadis Syrien? Wir fragen gleich den syrisch-deutschen Schriftsteller Rafik Schami. http://t.co/sgQpQVzkqv http://t.co/9JQYHqRwV1
